dataset,group_size,agg_method,accuracy,f1_score
helpsteer2,2,mean,0.9479768786127167,0.9477756286266924
helpsteer2,4,mean,0.9807692307692307,0.9806949806949807
helpsteer2,8,mean,1.0,1.0
helpsteer2,16,mean,1.0,1.0
helpsteer3,2,mean,0.5666831928606841,0.6196692776327241
helpsteer3,4,mean,0.6045589692765114,0.6465899025686448
helpsteer3,8,mean,0.6138613861386139,0.644808743169399
helpsteer3,16,mean,0.6482213438735178,0.6763636363636364
antique,2,mean,0.49983045100033907,0.6665159394076419
antique,4,mean,0.49966101694915255,0.666365280289331
antique,8,mean,0.5,0.6666666666666666
antique,16,mean,0.5,0.6666666666666666
neurips,2,mean,0.9490616621983914,0.948122866894198
neurips,4,mean,0.9832439678284183,0.9829816201497618
neurips,8,mean,0.9986595174262735,0.9986577181208054
neurips,16,mean,1.0,1.0
