dataset,analysis,group_size,accuracy,f1,auroc,auprc,scale_variant,dims_used
helpsteer2,group_size,1.0,0.8809638554216868,0.8769307424015944,0.943690856424063,0.9351601446842011,,
helpsteer2,group_size,2.0,0.9479768786127167,0.9477756286266924,0.9855398517231522,0.9863124392865548,,
helpsteer2,group_size,4.0,0.9807692307692307,0.9806949806949807,0.9993934911242603,0.9994023718636923,,
helpsteer2,group_size,8.0,1.0,1.0,1.0,0.9999999999999999,,
helpsteer2,group_size,16.0,1.0,1.0,1.0,1.0,,
helpsteer2,rating_scale,,0.8809638554216868,0.8769307424015944,0.943690856424063,0.9351601446842011,continuous,
helpsteer2,rating_scale,,0.8395180722891566,0.8225892381459776,0.9160432959310891,0.9045970469164192,binary,
helpsteer2,rating_scale,,0.8669879518072289,0.8559498956158664,0.9375895340605682,0.9353530465224885,3point,
helpsteer2,dimension_count,,0.6125301204819277,0.6232427366447985,0.6268763830747878,0.5820834334832984,,1.0
helpsteer2,dimension_count,,0.6640963855421687,0.7142271422714227,0.7019614346259682,0.6492596600970889,,2.0
helpsteer2,dimension_count,,0.6824096385542169,0.7280231118448205,0.7218312606953138,0.6710873217419302,,3.0
helpsteer2,dimension_count,,0.8602409638554217,0.8589494163424124,0.9169820681044141,0.9004207625126768,,4.0
helpsteer2,dimension_count,,0.8809638554216868,0.8769307424015944,0.943690856424063,0.9351601446842011,,5.0
helpsteer3,group_size,1.0,0.5086805555555556,0.5764378875347445,0.5483845132748806,0.5319151561121556,,
helpsteer3,group_size,2.0,0.5666831928606841,0.6196692776327241,0.5880394898296288,0.5569467118891244,,
helpsteer3,group_size,4.0,0.6045589692765114,0.6465899025686448,0.6352722772277228,0.600403360482106,,
helpsteer3,group_size,8.0,0.6138613861386139,0.644808743169399,0.6810653115000941,0.6676423664267132,,
helpsteer3,group_size,16.0,0.6482213438735178,0.6763636363636364,0.7469378827646544,0.7405630808342919,,
helpsteer3,rating_scale,,0.5086805555555556,0.5764378875347445,0.5483845132748806,0.5319151561121556,continuous,
helpsteer3,rating_scale,,0.5419146825396826,0.5671431919381298,0.5419437264640137,0.5222995345619321,binary,
helpsteer3,rating_scale,,0.5074404761904762,0.1126005361930295,0.5436564634846976,0.5240330346770692,ternary,
neurips,group_size,1.0,0.8719839142091153,0.8605839416058394,0.9190841435825744,0.9295175501998842,,
neurips,group_size,2.0,0.9490616621983914,0.948122866894198,0.9787503863321092,0.9839275574923805,,
neurips,group_size,4.0,0.9832439678284183,0.9829816201497618,0.9986334624700817,0.9989263295306697,,
neurips,group_size,8.0,0.9986595174262735,0.9986577181208054,0.9999784372776345,0.999978609320632,,
neurips,group_size,16.0,1.0,1.0,1.0,1.0000000000000002,,
neurips,dimension_count,,0.5108914209115282,0.5145518044237486,0.5134819237003069,0.5100050950065653,,1.0
neurips,dimension_count,,0.761896782841823,0.6959126899208218,0.7754476623313615,0.8187025142796484,,2.0
neurips,dimension_count,,0.8114946380697051,0.7748649189513708,0.8468594119486234,0.8752732207627221,,3.0
neurips,dimension_count,,0.8481903485254692,0.8297632468996617,0.8910418792990679,0.9099153692309541,,4.0
neurips,dimension_count,,0.8719839142091153,0.8605839416058394,0.9190841435825744,0.9295175501998842,,5.0
antique,group_size,1.0,0.4999152111243005,0.6665912945166761,0.5005088195386703,0.500424116947444,,
antique,group_size,2.0,0.49983045100033907,0.6665159394076419,0.5010176390773405,0.5008484351570548,,
antique,group_size,4.0,0.49966101694915255,0.666365280289331,0.5020352781546812,0.5016976749534301,,
antique,group_size,8.0,0.5,0.6666666666666666,0.5040760570207328,0.5048780487804878,,
antique,group_size,16.0,0.5,0.6666666666666666,0.5081519357195033,0.5097297297297297,,
