feature,coef,abs_coef,category
verbosity,0.3009543101866765,0.3009543101866765,judgment_intrinsic
complexity,0.277390283077923,0.277390283077923,judgment_intrinsic
helpfulness,0.07386632357113132,0.07386632357113132,judgment_intrinsic
correctness,0.05620791197717152,0.05620791197717152,judgment_intrinsic
coherence,0.04627057501015971,0.04627057501015971,judgment_intrinsic
vocab_diversity,0.016210818998569652,0.016210818998569652,linguistic
char_count,0.01365878567517339,0.01365878567517339,linguistic
word_count,0.01257437458915298,0.01257437458915298,linguistic
unique_words,0.012411551812446986,0.012411551812446986,linguistic
llm::overall score,0.012393586129625763,0.012393586129625763,llm_enhanced
average_word_length,0.010791921717439153,0.010791921717439153,linguistic
pronoun_ratio,0.010439572914812555,0.010439572914812555,linguistic
coleman_liau,0.010109173426703371,0.010109173426703371,linguistic
average_dependency_length,0.010014004627286851,0.010014004627286851,linguistic
punctuation_count,0.009559413473726693,0.009559413473726693,linguistic
avg_sentence_length,0.009497430052197626,0.009497430052197626,linguistic
adverb_ratio,0.009441131459617839,0.009441131459617839,linguistic
llm::complexity score,0.009422977403766582,0.009422977403766582,llm_enhanced
adjective_ratio,0.009071850478209926,0.009071850478209926,linguistic
noun_verb_ratio,0.008885979639656686,0.008885979639656686,linguistic
