feature,coef,abs_coef,category
confidence,0.11577940128473342,0.11577940128473342,judgment_intrinsic
word_count,0.09738247526058684,0.09738247526058684,linguistic
list_count,0.09054169237619632,0.09054169237619632,linguistic
sentence_count,0.08234497948046701,0.08234497948046701,linguistic
char_count,0.07929813298022585,0.07929813298022585,linguistic
punctuation_count,0.05021219630225371,0.05021219630225371,linguistic
unique_words,0.04418600273932378,0.04418600273932378,linguistic
paragraph_count,0.03794313143279219,0.03794313143279219,linguistic
noun_verb_ratio,0.03676732430936094,0.03676732430936094,linguistic
reference_count,0.033270881741706775,0.033270881741706775,linguistic
average_word_length,0.028204267296806394,0.028204267296806394,linguistic
passive_voice_ratio,0.024122896841631148,0.024122896841631148,linguistic
hedging_frequency,0.023956049199685393,0.023956049199685393,linguistic
average_dependency_length,0.02369782638714724,0.02369782638714724,linguistic
vocab_diversity,0.02278645587638519,0.02278645587638519,linguistic
discourse_marker_rate,0.02250672079128396,0.02250672079128396,linguistic
subordinate_clause_rate,0.019700032476161693,0.019700032476161693,linguistic
adjective_ratio,0.018938284510262124,0.018938284510262124,linguistic
coleman_liau,0.01890808103514092,0.01890808103514092,linguistic
adverb_ratio,0.01739664677404985,0.01739664677404985,linguistic
